"X1","Hasil_GeoHash","LATITUDE","LONGITUDE","Lat_Error","Long_Error","MAG","KEDALAMAN","CITY"
49,"qwrfqe",-9.42901611328125,123.689575195312,0.00274658203125,0.0054931640625,4.3,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-9.42901611328125&longitude=123.689575195312&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
50,"wb638c",1.67816162109375,126.952514648438,0.00274658203125,0.0054931640625,4.2,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=1.67816162109375&longitude=126.952514648438&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
51,"qz6wh8",-3.16131591796875,127.468872070312,0.00274658203125,0.0054931640625,4.2,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-3.16131591796875&longitude=127.468872070312&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
52,"qygqwp",-5.84747314453125,128.589477539062,0.00274658203125,0.0054931640625,4.2,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-5.84747314453125&longitude=128.589477539062&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
53,"qy0rsz",-9.89044189453125,124.315795898438,0.00274658203125,0.0054931640625,3.8,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-9.89044189453125&longitude=124.315795898438&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
54,"w0kfmj",1.83197021484375,96.9049072265625,0.00274658203125,0.0054931640625,4.1,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=1.83197021484375&longitude=96.9049072265625&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
55,"qybvrm",-6.07818603515625,125.128784179688,0.00274658203125,0.0054931640625,4.2,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-6.07818603515625&longitude=125.128784179688&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
56,"wb638c",1.67816162109375,126.952514648438,0.00274658203125,0.0054931640625,4.2,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=1.67816162109375&longitude=126.952514648438&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
57,"qybvrm",-6.07818603515625,125.128784179688,0.00274658203125,0.0054931640625,4.2,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-6.07818603515625&longitude=125.128784179688&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
58,"wb4eq9",0.57952880859375,127.556762695312,0.00274658203125,0.0054931640625,4.2,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=0.57952880859375&longitude=127.556762695312&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
59,"wb4eq9",0.57952880859375,127.556762695312,0.00274658203125,0.0054931640625,4.2,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=0.57952880859375&longitude=127.556762695312&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
60,"qwrfqe",-9.42901611328125,123.689575195312,0.00274658203125,0.0054931640625,4.3,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-9.42901611328125&longitude=123.689575195312&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
61,"wb1s4w",0.73883056640625,125.974731445312,0.00274658203125,0.0054931640625,4.2,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=0.73883056640625&longitude=125.974731445312&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
62,"qy0rsz",-9.89044189453125,124.315795898438,0.00274658203125,0.0054931640625,3.8,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-9.89044189453125&longitude=124.315795898438&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
63,"qyu3et",-6.73736572265625,129.885864257812,0.00274658203125,0.0054931640625,4.2,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-6.73736572265625&longitude=129.885864257812&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
64,"qwrfqe",-9.42901611328125,123.689575195312,0.00274658203125,0.0054931640625,4.3,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-9.42901611328125&longitude=123.689575195312&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
65,"qwrfqe",-9.42901611328125,123.689575195312,0.00274658203125,0.0054931640625,4.3,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-9.42901611328125&longitude=123.689575195312&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
66,"wb1s4w",0.73883056640625,125.974731445312,0.00274658203125,0.0054931640625,4.2,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=0.73883056640625&longitude=125.974731445312&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
67,"qzg9r1",-1.17828369140625,128.984985351562,0.00274658203125,0.0054931640625,4.2,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-1.17828369140625&longitude=128.984985351562&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
68,"wb638c",1.67816162109375,126.952514648438,0.00274658203125,0.0054931640625,4.2,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=1.67816162109375&longitude=126.952514648438&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
69,"qw3yfu",-8.63250732421875,115.087280273438,0.00274658203125,0.0054931640625,4.3,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-8.63250732421875&longitude=115.087280273438&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
70,"qy0rsz",-9.89044189453125,124.315795898438,0.00274658203125,0.0054931640625,3.8,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-9.89044189453125&longitude=124.315795898438&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
71,"wb4eq9",0.57952880859375,127.556762695312,0.00274658203125,0.0054931640625,4.2,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=0.57952880859375&longitude=127.556762695312&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
