"","X","Hasil_GeoHash","LATITUDE","LONGITUDE","Lat_Error","Long_Error","MAG","KEDALAMAN"
"16215",30,"qwtbkh",-8.36883544921875,120.767211914062,0.00274658203125,0.0054931640625,2.8,19
"16216",31,"qyu9vp",-6.68243408203125,130.303344726562,0.00274658203125,0.0054931640625,3.5,10
"16217",32,"qyu9vp",-6.68243408203125,130.303344726562,0.00274658203125,0.0054931640625,3.5,10
"16218",33,"qy2k51",-9.13238525390625,124.238891601562,0.00274658203125,0.0054931640625,2.8,19
"16219",34,"qzbyx0",-0.26092529296875,125.117797851562,0.00274658203125,0.0054931640625,4,10
"16220",35,"qy2k51",-9.13238525390625,124.238891601562,0.00274658203125,0.0054931640625,2.8,19
"16221",36,"qysnye",-7.23175048828125,129.666137695312,0.00274658203125,0.0054931640625,3.5,10
"16222",37,"qysnye",-7.23175048828125,129.666137695312,0.00274658203125,0.0054931640625,3.5,10
"16223",38,"qysnye",-7.23175048828125,129.666137695312,0.00274658203125,0.0054931640625,3.5,10
"16224",39,"qyu9vp",-6.68243408203125,130.303344726562,0.00274658203125,0.0054931640625,3.5,10
"16225",40,"wbe0vq",2.98004150390625,128.204956054688,0.00274658203125,0.0054931640625,4,150
"16226",41,"wbe0vq",2.98004150390625,128.204956054688,0.00274658203125,0.0054931640625,4,150
"16227",42,"rp36q6",-3.80950927734375,137.037963867188,0.00274658203125,0.0054931640625,4.4,10
"16228",43,"rp36q6",-3.80950927734375,137.037963867188,0.00274658203125,0.0054931640625,4.4,10
"16229",44,"qysnye",-7.23175048828125,129.666137695312,0.00274658203125,0.0054931640625,3.5,10
"16230",45,"wbe0vq",2.98004150390625,128.204956054688,0.00274658203125,0.0054931640625,4,150
"16231",46,"qy2k51",-9.13238525390625,124.238891601562,0.00274658203125,0.0054931640625,2.8,19
"16232",47,"qze5fu",-2.12860107421875,128.095092773438,0.00274658203125,0.0054931640625,4.4,36
"16233",48,"qzbyx0",-0.26092529296875,125.117797851562,0.00274658203125,0.0054931640625,4,10
"16234",49,"qwtbkh",-8.36883544921875,120.767211914062,0.00274658203125,0.0054931640625,2.8,19
"16235",50,"qyu9vp",-6.68243408203125,130.303344726562,0.00274658203125,0.0054931640625,3.5,10
"16236",51,"qzbyx0",-0.26092529296875,125.117797851562,0.00274658203125,0.0054931640625,4,10
